DateTime,Open,High,Low,Close
2006-04-20 04:00:00,1.2354,1.2364,1.2318,1.2329999999999999
2006-04-20 08:00:00,1.2331,1.235,1.229,1.2326
2006-04-20 12:00:00,1.2327,1.2329999999999999,1.2308,1.2323
2006-04-20 16:00:00,1.2322,1.2324,1.2273,1.2299
2006-04-20 20:00:00,1.23,1.2319,1.2299,1.2313
2006-04-21 00:00:00,1.2311,1.2314,1.2268,1.2297
2006-04-21 04:00:00,1.2298,1.235,1.2298,1.2315
2006-04-21 08:00:00,1.2314,1.2361,1.2309999999999999,1.234
2006-04-21 12:00:00,1.2339,1.2354,1.2319,1.2349
2006-04-21 16:00:00,1.2348,1.2353,1.2344,1.2344
2006-04-23 16:00:00,1.2373,1.2381,1.2364,1.2373
2006-04-23 20:00:00,1.2372,1.2373,1.2342,1.2346
2006-04-24 00:00:00,1.2345,1.2409999999999999,1.2345,1.2387
2006-04-24 04:00:00,1.2388,1.2393,1.2363,1.2374
2006-04-24 08:00:00,1.2373,1.2379,1.2334,1.2375
